"grid...1.";"grid...2.";"krigagem2.predict"
-24,877;-48,3;137,029535579969
-24,827;-48,3;137,029535579969
-24,777;-48,3;137,029535579969
-24,727;-48,3;137,029535579969
-24,677;-48,3;137,029535579969
-24,627;-48,3;137,029535579969
-24,577;-48,3;137,029535579969
-24,527;-48,3;137,029535579969
-24,477;-48,3;137,029535579969
-24,427;-48,3;137,029535579969
-24,377;-48,3;137,029535579969
-24,327;-48,3;137,029535579969
-24,277;-48,3;137,029535579969
-24,227;-48,3;137,029535579969
-24,177;-48,3;137,029535579969
-24,127;-48,3;137,029535579969
-24,077;-48,3;137,029535579969
-24,027;-48,3;137,029535579969
-23,977;-48,3;137,029535579969
-23,927;-48,3;137,029535579969
-23,877;-48,3;137,029535579969
-23,827;-48,3;137,029535579969
-23,777;-48,3;137,029535579969
-23,727;-48,3;137,029535579969
-23,677;-48,3;137,029535579969
-23,627;-48,3;137,029535579969
-23,577;-48,3;137,029535579969
-23,527;-48,3;137,029535579969
-23,477;-48,3;137,029535579969
-23,427;-48,3;137,029535579969
-23,377;-48,3;137,029535579969
-23,327;-48,3;137,029535579969
-23,277;-48,3;137,029535579969
-23,227;-48,3;137,029535579969
-23,177;-48,3;137,029535579969
-23,127;-48,3;137,029535579969
-23,077;-48,3;137,029535579969
-23,027;-48,3;137,029535579969
-22,977;-48,3;137,029535579969
-22,927;-48,3;137,029535579969
-22,877;-48,3;137,029535579969
-22,827;-48,3;137,029535579969
-22,777;-48,3;137,029535579969
-22,727;-48,3;137,029535579969
-22,677;-48,3;137,029535579969
-24,877;-48,25;137,029535579969
-24,827;-48,25;137,029535579969
-24,777;-48,25;137,029535579969
-24,727;-48,25;137,029535579969
-24,677;-48,25;137,029535579969
-24,627;-48,25;137,029535579969
-24,577;-48,25;137,029535579969
-24,527;-48,25;137,029535579969
-24,477;-48,25;137,029535579969
-24,427;-48,25;137,029535579969
-24,377;-48,25;137,029535579969
-24,327;-48,25;137,029535579969
-24,277;-48,25;137,029535579969
-24,227;-48,25;137,029535579969
-24,177;-48,25;137,029535579969
-24,127;-48,25;137,029535579969
-24,077;-48,25;137,029535579969
-24,027;-48,25;137,029535579969
-23,977;-48,25;137,029535579969
-23,927;-48,25;137,029535579969
-23,877;-48,25;137,029535579969
-23,827;-48,25;137,029535579969
