"grid...1.";"grid...2.";"krigagem2.predict"
-25,101;-51,622;186,653298806591
-25,051;-51,622;186,653298806591
-25,001;-51,622;186,653298806591
-24,951;-51,622;186,653298806591
-24,901;-51,622;186,653298806591
-24,851;-51,622;186,653298806591
-24,801;-51,622;186,653298806591
-24,751;-51,622;186,653298806591
-24,701;-51,622;186,653298806591
-24,651;-51,622;186,653298806591
-24,601;-51,622;186,653298806591
-24,551;-51,622;186,653298806591
-24,501;-51,622;186,653298806591
-24,451;-51,622;186,653298806591
-24,401;-51,622;186,653298806591
-24,351;-51,622;186,653298806591
-24,301;-51,622;186,653298806591
-24,251;-51,622;186,653298806591
-24,201;-51,622;186,653298806591
-24,151;-51,622;186,653298806591
-24,101;-51,622;186,653298806591
-24,051;-51,622;186,653298806591
-24,001;-51,622;186,653298806591
-23,951;-51,622;186,653298806591
-23,901;-51,622;186,653298806591
-23,851;-51,622;186,653298806591
-23,801;-51,622;186,653298806591
-23,751;-51,622;186,653298806591
-23,701;-51,622;186,653298806591
-23,651;-51,622;186,653298806591
-23,601;-51,622;186,653298806591
-23,551;-51,622;186,653298806591
-23,501;-51,622;186,653298806591
-23,451;-51,622;186,653298806591
-23,401;-51,622;186,653298806591
-23,351;-51,622;186,653298806591
-23,301;-51,622;186,653298806591
-23,251;-51,622;186,653298806591
-23,201;-51,622;186,653298806591
-23,151;-51,622;186,653298806591
-23,101;-51,622;186,653298806591
-23,051;-51,622;186,653298806591
-23,001;-51,622;186,653298806591
-22,951;-51,622;186,653298806591
-22,901;-51,622;186,653298806591
-22,851;-51,622;186,653298806591
-22,801;-51,622;186,653298806591
-22,751;-51,622;186,653298806591
-22,701;-51,622;186,653298806591
-22,651;-51,622;186,653298806591
-22,601;-51,622;186,653298806591
-22,551;-51,622;186,653298806591
-22,501;-51,622;186,653298806591
-22,451;-51,622;186,653298806591
-22,401;-51,622;186,653298806591
-22,351;-51,622;186,653298806591
-22,301;-51,622;186,653298806591
-22,251;-51,622;186,653298806591
-22,201;-51,622;186,653298806591
-22,151;-51,622;186,653298806591
-22,101;-51,622;186,653298806591
-22,051;-51,622;186,653298806591
-22,001;-51,622;186,653298806591
-21,951;-51,622;186,653298806591
-21,901;-51,622;186,653298806591
-21,851;-51,622;186,653298806591
-21,801;-51,622;186,653298806591
-21,751;-51,622;186,653298806591
-21,701;-51,622;186,653298806591
-21,651;-51,622;186,653298806591
-21,601;-51,622;186,653298806591
-21,551;-51,622;186,653298806591
-21,501;-51,622;186,653298806591
-21,451;-51,622;186,653298806591
-21,401;-51,622;186,653298806591
-21,351;-51,622;186,653298806591
-21,301;-51,622;186,653298806591
-21,251;-51,622;186,653298806591
-21,201;-51,622;186,653298806591
-21,151;-51,622;186,653298806591
-21,101;-51,622;186,653298806591
-21,051;-51,622;186,653298806591
-21,001;-51,622;186,653298806591
-20,951;-51,622;186,653298806591
-20,901;-51,622;186,653298806591
-20,851;-51,622;186,653298806591
-20,801;-51,622;186,653298806591
-20,751;-51,622;186,653298806591
-20,701;-51,622;186,653298806591
-20,651;-51,622;186,653298806591
-20,601;-51,622;186,653298806591
-20,551;-51,622;186,653298806591
-20,501;-51,622;186,653298806591
-20,451;-51,622;186,653298806591
-20,401;-51,622;186,653298806591
-20,351;-51,622;186,653298806591
-20,301;-51,622;186,653298806591
-20,251;-51,622;186,653298806591
-20,201;-51,622;186,653298806591
-25,101;-51,572;186,653298806591
-25,051;-51,572;186,653298806591
-25,001;-51,572;186,653298806591
-24,951;-51,572;186,653298806591
-24,901;-51,572;186,653298806591
-24,851;-51,572;186,653298806591
-24,801;-51,572;186,653298806591
-24,751;-51,572;186,653298806591
-24,701;-51,572;186,653298806591
-24,651;-51,572;186,653298806591
-24,601;-51,572;186,653298806591
-24,551;-51,572;186,653298806591
-24,501;-51,572;186,653298806591
-24,451;-51,572;186,653298806591
-24,401;-51,572;186,653298806591
-24,351;-51,572;186,653298806591
-24,301;-51,572;186,653298806591
-24,251;-51,572;186,653298806591
-24,201;-51,572;186,653298806591
-24,151;-51,572;186,653298806591
-24,101;-51,572;186,653298806591
-24,051;-51,572;186,653298806591
-24,001;-51,572;186,653298806591
-23,951;-51,572;186,653298806591
-23,901;-51,572;186,653298806591
-23,851;-51,572;186,653298806591
-23,801;-51,572;186,653298806591
-23,751;-51,572;186,653298806591
-23,701;-51,572;186,653298806591
-23,651;-51,572;186,653298806591
-23,601;-51,572;186,653298806591
-23,551;-51,572;186,653298806591
-23,501;-51,572;186,653298806591
-23,451;-51,572;186,653298806591
-23,401;-51,572;186,653298806591
-23,351;-51,572;186,653298806591
-23,301;-51,572;186,653298806591
-23,251;-51,572;186,653298806591
-23,201;-51,572;186,653298806591
-23,151;-51,572;186,653298806591
-23,101;-51,572;186,653298806591
-23,051;-51,572;186,653298806591
-23,001;-51,572;186,653298806591
-22,951;-51,572;186,653298806591
-22,901;-51,572;186,653298806591
-22,851;-51,572;186,653298806591
-22,801;-51,572;186,653298806591
-22,751;-51,572;186,653298806591
-22,701;-51,572;186,653298806591
-22,651;-51,572;186,653298806591
-22,601;-51,572;186,653298806591
-22,551;-51,572;186,653298806591
